Artista,Biografia,Listeners,Playcount,Artistas Similares
Fruit Bats,"Fruit Bats is an American indie-rock band formed in 1997 in Chicago, Illinois. The group has had many personnel changes but revolves around songwriter Eric D. Johnson. Their albums include Echolocation (2001), Mouthfuls (2003), Spelled in Bones (2005), The Ruminant Band (2009), Tripper (2011), and Absolute Loser (2016). In 2009 Johnson also joined The Shins.

Originally part of short-lived Chicago group I Rowboat, Johnson and two of his fellow Rowboat members, guitarist Dan Strack and drummer Brian Belval, created Fruit Bats as a side-project. <a href=""https://www.last.fm/music/Fruit+Bats"">Read more on Last.fm</a>",558987,8097400,Vetiver
Eve,"There are at least five artists using this name:
1. Eve - The Japanese singer (Utaite)
2. Eve Ai - The Taiwanese Singer
3. Jarkko Eve - The Finnish singer - songwriter - base player - guitarist
4. EVE - Brazilian girl group
5.  Eve - The American rapper, songwriter from Philadelphia.

1. Eve (いぶ ibu), also known as Keitora (けいとら) and Kurowa (クロわ), is mostly known as an utaite on the platforms Niconico and YouTube. In recent years, he has also composed original works. <a href=""https://www.last.fm/music/Eve"">Read more on Last.fm</a>",1342853,34257827,Creepy Nuts
Quaker City Night Hawks,"Quaker City Night Hawks' brand of hard rock n' roll is bred from Texas boogie, Memphis soul and heavy blues. Their music is southern rock right out of '75, played with the fervor of a sermon crackling out of the radio in a '68 Lincoln. They're the whiskey bottle you finished Saturday night and the prayer you said the next morning. Like a country gunshot on a humid night and your first illicit beer, Quaker City Night Hawks are the spirit of rock n' roll. Come shake your hips.  <a href=""https://www.last.fm/music/Quaker+City+Night+Hawks"">Read more on Last.fm</a>",59150,369549,Henry's Funeral Shoe
Thirty Seconds to Mars,"Thirty Seconds to Mars (commonly stylized as 30 Seconds to Mars) is an American Alternative Rock band, Founded in 1998 in Los Angeles, California, United States by Jared Leto and his brother, Shannon, Thirty Seconds to Mars initially began as a small family project. Matt Wachter later joined the band as bassist and keyboard player. After working with a number of guitarists (including Kevin Drake and Solon Bixler), the band auditioned Tomo Miličević to complete the band's official roster. <a href=""https://www.last.fm/music/+noredirect/Thirty+Seconds+to+Mars"">Read more on Last.fm</a>",793932,16242109,
BABYMETAL,"Babymetal (stylized BABYMETAL) is a Japanese Kawaii Metal group that was initially formed in 2010 in Tokyo, Japan as a subunit of the female idol group Sakura Gakuin (さくら学院). Their concept is a fusion of Metal, j-pop, and idol.

The band currently consists of Suzuka Nakamoto 中元すず香 (aka Su-Metal), Moa Kikuchi 菊地最愛 (aka Moametal), and Momoko Okazaki 岡崎 百々子 (aka Momometal). These girls and their group are managed by the Amuse talent agency. <a href=""https://www.last.fm/music/BABYMETAL"">Read more on Last.fm</a>",643085,37558207,Ladybaby
Bon Iver,"
Bon Iver is a Grammy Award winning  folk band from Eau Claire, Wisconsin, United States, and one of Justin Vernon's current and most notable music projects to date. The band also consists of Mike Noyce, Sean Carey and Matt MacCaughan. 

The name 'Bon Iver' (pronounced ""bon ee-VAIR"") is a play on the French phrase 'bon hiver' meaning 'good winter'. Vernon independently released Bon Iver's debut album For Emma, Forever Ago in 2007, most of which was recorded during a four-month stay in a remote cabin in Wisconsin. <a href=""https://www.last.fm/music/Bon+Iver"">Read more on Last.fm</a>",3065352,187585293,Volcano Choir
Slipknot,"Slipknot is an American nu metal band from Des Moines, Iowa. It was formed in 1995 by percussionist Shawn Crahan, drummer Joey Jordison and bassist Paul Gray. After several lineup changes in its early years, the band settled on nine members for more than a decade: Crahan, Jordison, Gray, Craig Jones, Mick Thomson, Corey Taylor, Sid Wilson, Chris Fehn, and Jim Root. Gray died on May 24, 2010, and was replaced during 2011–2014 by guitarist Donnie Steele. <a href=""https://www.last.fm/music/Slipknot"">Read more on Last.fm</a>",3459843,251817896,Korn
Sharon Van Etten,"Sharon van Etten (born February 26, 1981) is an American singer-songwriter and actress from New Jersey.

Currently based in Brooklyn, NY, USA, van Etten débuted with single Much More Than That (2007, Abaton Book Company). Her album Are We There  was released on 14 May 2014 on Jagjaguwar).

van Etten moved to Tennessee to attend Middle Tennessee State University, where she discovered a variety of influential music. After moving back home to New Jersey, she was encouraged by Kyp Malone of TV on the Radio to pursue a career in music. <a href=""https://www.last.fm/music/Sharon+Van+Etten"">Read more on Last.fm</a>",892871,25546568,Angel Olsen
Shinsei Kamattechan,"Shinsei Kamattechan (神聖かまってちゃん) is a Japanese alternative rock band from Chiba. Formed in 2007, the band consists of Noko (の子 - lead vocal, guitar, keyboard, razor), mono (bandleader, keyboard, guitar, tambourine), Misako (みさこ - drums, chorus), and Chibagin (ちばぎん - bass, chorus).

The band is well known for broadcasting their activity on live-steaming video sites such as stickam, peercast, and Japanese popular video sharing website Nico Nico Douga. <a href=""https://www.last.fm/music/+noredirect/Shinsei+Kamattechan"">Read more on Last.fm</a>",278748,5897886,
O.A.R.,"O.A.R. (Of A Revolution) is an alternative rock band which formed in Rockville, Maryland, United States in 1996. The band consists of Marc Roberge (vocals, guitar), Chris Culos (drums, percussion), Richard On (guitar, backing vocals), Benj Gershman (bass), and Jerry DePizzo (saxophone, guitar, backing vocals). The band has released seven albums: ""The Wanderer"" (1997), Soul's Aflame (2000), ""Risen"" (2001), ""In Between Now and Then"" (2003), ""Stories of a Stranger"" (2005), ""All Sides"" (2008), and King (2011).  <a href=""https://www.last.fm/music/O.A.R."">Read more on Last.fm</a>",526444,8387724,Dispatch
Tim Hill,"Having played music nearly his whole life, this lad from Chicago combines a refreshing mix of blues, rock and on occasion folk. In his own words Tim sounds like, ""Strum, Strum Strum. Words, Words, Words. Strum. Words. Bridge. Words. Strum. End on Root Chord. Trail-off and fade out the studio noise.""

http://www.myspace.com/timhillmusic <a href=""https://www.last.fm/music/Tim+Hill"">Read more on Last.fm</a>",21736,150788,Reverend Baron
The Black Keys,"The Black Keys is a blues-rock group from Akron, Ohio, United States which formed in 2001, consisting of singer and guitarist Dan Auerbach and drummer Patrick Carney. The band name was inspired by a schizophrenic artist and friend in Akron, who used the term ""black keys"" to describe things he disliked or people he did not trust. The Black Keys have roots in traditional blues and psychedelic rock stylings.

They released their first album, The Big Come Up, in 2002, followed by Thickfreakness in 2003, and Rubber Factory in 2004. <a href=""https://www.last.fm/music/The+Black+Keys"">Read more on Last.fm</a>",2952025,167516076,Dan Auerbach
Broken Bells,"Broken Bells is an American indie rock duo which formed in 2009 in Los Angeles. The band consists of James Mercer (vocals, guitar) and Brian ""Danger Mouse"" Burton (multiple instruments, production). Mercer is a member of the indie rock band The Shins and Burton is a member of Gnarls Barkley and Dangerdoom, as well as being a respected producer for such artists as Beck, Gorillaz, The Rapture and The Black Keys.

The debut self-titled album by Broken Bells was released on Columbia Records on March 9, 2010. <a href=""https://www.last.fm/music/Broken+Bells"">Read more on Last.fm</a>",1288181,30229458,The Shins
Hozier,"Andrew Hozier-Byrne (born 17 March 1990), known mononymously as Hozier, is an Irish musician and singer-songwriter from Bray, County Wicklow, Ireland. In 2013 he released his debut EP, featuring the hit single ""Take Me to Church"", and his second EP ""From Eden"" in 2014. His debut studio album, ""Hozier"", was released in Ireland in September 2014 and globally in October 2014.

Hozier was born in Bray, County Wicklow, Ireland.  His mother is the visual artist Raine Hozier-Byrne (who also designed his latest album cover). <a href=""https://www.last.fm/music/Hozier"">Read more on Last.fm</a>",2637088,179727167,Noah Kahan
Imagine Dragons,"Imagine Dragons is a pop band which formed in 2008 in Las Vegas, Nevada, United States. The band consists of Dan Reynolds (vocals), Wayne Sermon (guitar) and Ben McKee (bass) . The band released four EPs - ""Imagine Dragons"" (2009), ""Hell and Silence"" (2010), ""It's Time"" (2011) and ""Continued Silence"" (2012) - before releasing their debut full length album ""Night Visions"" on 4 September 2012.

The band's single ""It's Time"", which previously appeared on the ""It's Time"" and ""Continued Silence"" EPs in addition to appearing on ""Night Visions"" <a href=""https://www.last.fm/music/Imagine+Dragons"">Read more on Last.fm</a>",3371366,197862048,OneRepublic
Sam Fender,"Sam Fender (born Samuel Thomas Fender on 25 April 1994) is an English singer-songwriter who was named one of the BBC's Sound of 2018 alongside other emerging artists including Sigrid, Lewis Capaldi, and Khalid. He won the Brit Awards Critics’ Choice for 2019.

Fender was a teenager when he began performing in pubs throughout North Shields, England. He was spotted in a pub by Ben Howard's manager, Owain Davies, who then got him to support for Willy Mason. <a href=""https://www.last.fm/music/Sam+Fender"">Read more on Last.fm</a>",528624,23108185,Catfish and the Bottlemen
Mrs. GREEN APPLE,"Mrs. GREEN APPLE (ミセスグリーンアップル) is a 3, formerly 5 member Jrock band from Tokyo that debuted in 2013 an made their major debut in 2015 under EMI Records and Universal Music Japan. 

The curent member are Motoki Ohmori, Hiroto Wakai and Ryoka Fujisaki <a href=""https://www.last.fm/music/Mrs.+GREEN+APPLE"">Read more on Last.fm</a>",269225,6282879,back number
Switchfoot,"Switchfoot is a Grammy-winning alternative rock band from San Diego, California, United States. The band was formed in 1996 with the brothers Jon Foreman (lead singer/guitarist) and Tim Foreman (bass). Long-time friend Chad Butler (drums) joined soon after.  Eventually the band evolved to what it is today with the addition of members Jerome Fontamillas (key/guitar/electronics - formerly of Mortal and Fold Zandura) and Drew Shirley (guitar - formerly of All Together Separate).  <a href=""https://www.last.fm/music/Switchfoot"">Read more on Last.fm</a>",1107563,27629190,Relient K
Mitchell Tenpenny,"Mitchell was born and raised in Nashville Tennessee. He grew up around song writers and artist thriving in the Nashville music scene. Having family in the music industry instilled a musical drive to succeed and create music that tells a story and speaks true from the heart. From his soft timbre to his lyrics about life and love, Mitchell is truly one of Nashville's own. <a href=""https://www.last.fm/music/Mitchell+Tenpenny"">Read more on Last.fm</a>",100453,1700744,Jordan Davis
Vampire Weekend,"
Vampire Weekend is an indie rock band which formed in February 2006 in New York City, New York, United States. The band consists of Ezra Koenig (vocals, guitar), Chris Baio (bass) and Christopher Tomson (drums). Rostam Batmanglij has left the band in early 2016 to begin solo career, but will continue to collaborate with Ezra. The band has released four albums: ""Vampire Weekend"" (2008), ""Contra"" (2010)"",""Modern Vampires of the City"" (2013) and ""Father of the Bride"" (2019). <a href=""https://www.last.fm/music/Vampire+Weekend"">Read more on Last.fm</a>",3069213,143726409,Rostam
Catfish and The Bottlemen,"Catfish and the Bottlemen is a British rock band, formed in Llandudno, Wales in 2007. Their debut album, The Balcony, reached number 10 in the UK Albums Chart and achieved Platinum status on 30 December 2016. The band have toured in the UK, Europe, North America, and Australia and have featured in a number of festivals including Glastonbury, Lollapalooza, Latitude, Reading and Leeds, Rock Werchter, T in the Park, Governors Ball, and Bonnaroo. They won their first Brit Award for British Breakthrough act on 24 February 2016. <a href=""https://www.last.fm/music/Catfish+and+The+Bottlemen"">Read more on Last.fm</a>",750585,30649763,
Public,"Public is a three-piece indie pop group hailing from Cincinnati, Ohio. The band consists of John Vaughan on lead vocals and guitar, Ben Lapps on drums, and Matt Alvarado on bass. They formed in 2008, initially starting as a songwriting duo with Vaughan and Lapps before Alvarado joined to complete the current lineup of Public.

Drawing inspiration from their roots in classic rock and indie pop, Public released their first EP titled ""Red"" in 2012, quickly establishing a strong local fanbase in Cincinnati. <a href=""https://www.last.fm/music/Public"">Read more on Last.fm</a>",456924,4311576,Castlecomer
Pepper,"New self-titled Pepper album drops Fall 2013!! 

Facebook www.facebook.com/pepperlive; Twitter www.twitter.com/pepperlive; Instagram www.instagram.com/pepperlive

Kaleo Wassman – Vocals/Guitar
Bret Bollinger – Vocals/Bass
Yesod Williams – Drums

“It’s the hardest thing we’ve ever done as a band to make this record,” says guitarist/vocalist Kaleo Wassman of Pepper, in speaking on the recording process of their new self-titled album. “It <a href=""https://www.last.fm/music/Pepper"">Read more on Last.fm</a>",464318,6584646,Slightly Stoopid
Ghost,"There are several artists sharing the moniker Ghost;

1) Ghost, also formerly known as Ghost B.C. in the United States, is a Swedish hard rock band that was formed in Linköping in 2006. In 2010, they released a three-track demo followed by a 7-inch vinyl titled ""Elizabeth"", and later their debut full-length album Opus Eponymous. The song ""Ritual"" was chosen by Kerrang! as one of ""The 50 Most Evil Songs Ever."" The Grammis-nominated album was widely praised and significantly increased their popularity. <a href=""https://www.last.fm/music/Ghost"">Read more on Last.fm</a>",1264845,107540967,Ozzy Osbourne
Jannabi,"JANNABI are a South Korean indie rock band whose core members consist of vocalist Choi Jung-hoon and guitarist Kim Do-hyung. Formed in 2012, the band debuted in 2014 under the independent record label Peponi Music. Originally a quintet, the band has undergone several lineup changes, with Choi and Kim remaining the only constant members and songwriters since their inception. Currently, the duo has expanded to include session musicians for live performances, as well as studio recordings.  <a href=""https://www.last.fm/music/Jannabi"">Read more on Last.fm</a>",145751,4033036,
Sum 41,"Sum 41 is a Canadian punk rock band from Ajax, Ontario, Canada, active since 1996. The current members, as of 2023, are Deryck Whibley (lead vocals, rhythm guitar), Jason McCaslin (bass guitar, backing vocals),  Dave Baksh (lead guitar, backing vocals), Tom Thacker (rhythm and lead guitar, keyboards, backing vocals) and Frank Zummo (drums). They've released six studio albums as of February 2017.

Sum 41 released their debut album, All Killer No Filler <a href=""https://www.last.fm/music/Sum+41"">Read more on Last.fm</a>",2955661,119926738,blink-182
Fog Lake,"Fog Lake is the musical alias of Canadian singer-songwriter Aaron Powell. Powell began writing and recording songs in his hometown of Glovertown, Newfoundland. Powell's recordings have been described as ""a complex collage of nebulous angst and heartfelt nostalgia"". Fog Lake's latest full-length release, entitled Midnight Society, was released on May 19th, 2023. <a href=""https://www.last.fm/music/Fog+Lake"">Read more on Last.fm</a>",585410,10860420,fairies in our house
Unspoken," <a href=""https://www.last.fm/music/Unspoken"">Read more on Last.fm</a>",35666,573095,Josh Wilson
Foo Fighters,"Foo Fighters is an American rock band formed in Seattle in 1994. Foo Fighters was initially formed as a one-man project by former Nirvana drummer Dave Grohl. Following the success of the eponymous debut album, Grohl (lead vocals, guitar) recruited a band consisting of Nate Mendel (bass guitar), William Goldsmith (drums), and Pat Smear (guitar). After a succession of lineup changes, including the departures of Goldsmith and Smear, the band formed its core lineup in 1999 consisting of Grohl <a href=""https://www.last.fm/music/Foo+Fighters"">Read more on Last.fm</a>",5471041,286686993,Taylor Hawkins & The Coattail Riders
The Growlers,"The Growlers are an American band from Southern California. They began their career in the Orange County city of Dana Point, California in 2006. They are currently based in Costa Mesa.  The band is currently composed of singer Brooks Nielsen, lead guitarist Matt Taylor and keyboard player/guitarist Kyle Straka.  They have released seven albums, several EPs and a number of singles. The band's sound has been described as ""a trademark style of music that somehow combines surf, pop, rock and beat"" which has been labeled ""Beach Goth"". <a href=""https://www.last.fm/music/The+Growlers"">Read more on Last.fm</a>",704745,19933736,The Buttertones
The Dreadnoughts,"One part roaring sea shanty, one part haunting Irish melody, and a solid chaser of gut-crunching street punk. This ragtag group of drunken misfits stays true to the ancient ballads and bawlers that once drove sailors around the world, all the while smashing out modern punk with a fury and intensity that is unmatched anywhere.

Formed in 2006 over pints of cheap beer at East Vancouver’s notoriously violent Ivanhoe Hotel, The Dreadnoughts cut their teeth in the roughest dive bars in the city. <a href=""https://www.last.fm/music/The+Dreadnoughts"">Read more on Last.fm</a>",162115,4265328,Smokey Bastard
ZAYDE WØLF,"Zayde Wolf is a songwriter, producer, and one-of-a-kind artist in his own right. The solo project of Dustin Burnett, a Nashville-based producer and musician, Zayde Wolf has licensed hundreds of songs - from film trailers, television shows and video games, to major domestic and international advertisements on the internet with Fox, NBC, ABC, ESPN, MTV, CBS and TLC networks. His song “Cold Blooded” was the spring 2019 theme song for the Chicago Cubs and used by Dude Perfect <a href=""https://www.last.fm/music/ZAYDE+W%C3%98LF"">Read more on Last.fm</a>",159639,2366740,
Black Dresses,"Black Dresses was the collaborative electro-industrial / noise pop project of Devi Mccallion (Girls Rituals, Cats Millionaire) and Ada Rook (Crisis Sigil). The duo ""disbanded"" in early 2020 due to harassment the two received on social media, but continued to release music under the Black Dresses name. In 2024, the duo officially disbanded with the release of their final album, LAUGHINGFISH. <a href=""https://www.last.fm/music/Black+Dresses"">Read more on Last.fm</a>",210606,8512111,ADA ROOK
Papa Roach,"Papa Roach is an American rock band from Vacaville, California, formed in 1993. The original lineup consisted of lead vocalist Jacoby Shaddix, guitarist Jerry Horton, drummer Dave Buckner, bassist Will James, and trombonist Ben Luther.

After two EPs, James left and was replaced by Tobin Esperance. The band independently released two more EPs before signing with DreamWorks Records in 1999, subsequently releasing the triple-platinum Infest in 2000, the gold album Lovehatetragedy in 2002 and the platinum album Getting Away with Murder in 2004. <a href=""https://www.last.fm/music/Papa+Roach"">Read more on Last.fm</a>",3157109,102122289,P.O.D.
Joan,"Joan is the 80’s inspired synth-pop duo comprised of Alan Thomas and Steven Rutherford. Growing up in Little Rock, Arkansas the two ran with similar circles, going to the same church and attending the same college before their paths crossed and they hit it off. Thomas was formerly in the band Canopy Climbers and Rutherford in Brothers + Company before they met. After Rutherford graduated college he decided to pursue music as a career, Thomas was already on that path and they began to pursue a music licensing project. <a href=""https://www.last.fm/music/Joan"">Read more on Last.fm</a>",183976,2798724,Nightly
The Slaps,"The Slaps, an indie-rock Chicago-based band, describe themselves as “six arms, six legs and six fully-functioning eyeballs,” but there’s a soul to their music that supersedes their facetious physical form. The three-man band — consisting of Rand Kelly, Ramsey Bell and Josh Resing — has been around for only a few years, but in that time has significantly impacted the local music scene. <a href=""https://www.last.fm/music/The+Slaps"">Read more on Last.fm</a>",107818,1268402,Mustard Service
Milky Chance,"Milky Chance is a German alternative pop folk rock duo with reggae and electronic music influences made up of Clemens Rehbein as vocalist and musician and Philipp Dausch as DJ. Both originating from Kassel, they are signed to Kassel-based label Lichtdicht Records.

The duo finished their high school education at Jacob-Grimm Schule. Clemens played in a jazz quartet known as Flown Tones where he played bass guitar. Philipp was a DJ. 

Their first single 'Stolen Dance'  was released in 2012 <a href=""https://www.last.fm/music/Milky+Chance"">Read more on Last.fm</a>",1408212,30970431,Henry and the Waiter
Florence + the Machine,"Florence + the Machine is a London, UK, art pop band led by singer-songwriter Florence Welch and formed in 2007.  The band consists of:  Florence Welch (vocals), Robert Ackroyd (guitar), Isabella Summers (aka Isa Machine - keyboards), Tom Monger (harp), Mark Saunders (bass, percussion), Christopher Lloyd Hayden (drums, backing vocals), Rusty Bradshaw (keyboard, backing vocals) and Sam White (backing vocals).  

Lead singer, Florence Welch, was an art-college drop-out <a href=""https://www.last.fm/music/Florence+%252B+the+Machine"">Read more on Last.fm</a>",3643222,263316169,Lorde
Chris Rice,"Chris Rice's most recent offerings to the music world include pop radio hits ""When Did You Fall (In Love With Me)"" and ""Lemonade"" from his album ""What A Heart Is Beating For.""

Rice was born in Washington DC, and has been a resident of Franklin and Nashville TN since his early twenties. 

From his official website: ""In 1996 he signed with a record label (Rocketown Records) as their first artist. After four plus albums and a few handfuls of Christian radio hit singles <a href=""https://www.last.fm/music/Chris+Rice"">Read more on Last.fm</a>",105301,1420527,Steven Curtis Chapman
The Voidz,"
The Voidz, are an American rock band formed in 2013 by Julian Casablancas of The Strokes. The band consists of Casablancas (lead vocals) as well as Jeramy ""Beardo"" Gritter (guitar), Amir Yaghmai (guitar), Jacob ""Jake"" Bercovici (bass guitar, synthesizers), Alex Carapetis (drums, percussion), Jeff Kite (keys) and Shawn Everett (production)

The band's debut album ""Tyranny"" was released on the September 23, 2014
The second album named ""Virtue"" was released on the March 30, 2018





 <a href=""https://www.last.fm/music/The+Voidz"">Read more on Last.fm</a>",436060,13728593,Julian Casablancas
Juanes,"Juan Esteban Aristizábal Vásquez (born August 9, 1972), best known as Juanes, is a rock musician from Medellín, Colombia. When he was younger, his father started calling him Juanes, rather than Juan, a contraction of his two first names Juan and Esteban. As his friends grew to know him by this name, he chose to keep it for his musical career, which started when he, Andrés García, Fernando ""Toby"" Tobón and José David Lopera, formed the rock band Ekhymosis in 1988. <a href=""https://www.last.fm/music/Juanes"">Read more on Last.fm</a>",980501,15346425,Bacilos
Des Rocs,"Des Rocs is an American rock artist from New York, New York. Des Rocs is a solo project produced and led by New York native Daniel Rocco. When touring Rocco is joined by his long time friends and bandmates, William Tully and Eric Mendelsohn. Des Rocs has toured with rock bands such as Muse, The Rolling Stones, and The Struts. Influences for Rocco include Muse, Elvis Presley, Jimi Hendrix, Roy Orbison, Kanye West, and Queen, though Rocco's focus is individuality and sounding unlike other rock artists. <a href=""https://www.last.fm/music/Des+Rocs"">Read more on Last.fm</a>",236421,4690135,Himalayas
